ID,Manufacturing Site,First Line Designation,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Unit Price,Weight (Kilograms),Line Item Insurance (USD),Freight Cost (USD)
44131,"Aurobindo Unit III, India",No,60,82,5009.96,1.02,Weight Captured Separately,5.9,Freight Included in Commodity Cost
44180,"Aurobindo Unit III, India",No,60,19429,43715.25,0.04,See ASN-21698 (ID#:33964),54.08,See ASN-21698 (ID#:33964)
44183,"BMS Meymac, France",No,30,60,1327.39,0.74,Weight Captured Separately,2.6,Freight Included in Commodity Cost
44204,GSK Cape Town Factory (South Africa),No,60,2500,21941.29,0.15,Weight Captured Separately,27.14,Freight Included in Commodity Cost
44209,"Aurobindo Unit III, India",Yes,60,31528,171197.04,0.09,1899,211.77,10879.44
44247,"Aurobindo Unit III, India",No,30,9,196.8,0.73,Weight Captured Separately,0.24,Freight Included in Commodity Cost
44263,"Trinity Biotech, Plc",Yes,20,2730,87360,1.6,890,108.06,11367.59
44265,"Aurobindo Unit III, India",Yes,30,276,6187.92,0.75,Weight Captured Separately,12.13,Freight Included in Commodity Cost
44304,"Alere Medical Co., Ltd.",Yes,100,4758,423462,0.89,1934,435.32,28895.07
44307,"Aurobindo Unit III, India",Yes,30,39878,265188.7,0.22,Weight Captured Separately,437.56,Freight Included in Commodity Cost
44315,"Alere Medical Co., Ltd.",Yes,100,90,9000,1,41,12.62,1182.5
44330,"Aurobindo Unit III, India",No,240,14,111.95,0.03,Weight Captured Separately,0.14,Freight Included in Commodity Cost
44340,"Aurobindo Unit III, India",No,60,51,466.28,0.15,Weight Captured Separately,0.48,Freight Included in Commodity Cost
44363,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,30,1902,38040,0.67,170,47.06,1965.62
44373,"Aurobindo Unit III, India",No,60,13000,29900,0.04,See ASN-13475 (ID#:15772),49.34,See ASN-13475 (ID#:15772)
44393,"Alere Medical Co., Ltd.",Yes,100,5538,443040,0.8,5538,455.45,25380.88
44448,"Cipla, Goa, India",Yes,60,104636,284609.92,0.05,11275,469.61,8527.46
44463,Hetero Unit III Hyderabad IN,No,60,608,5932.29,0.16,Weight Captured Separately,7.34,Freight Included in Commodity Cost
44486,"Aurobindo Unit III, India",No,30,182,541.83,0.1,Weight Captured Separately,0.67,Freight Included in Commodity Cost
44501,ABBVIE Ludwigshafen Germany,Yes,60,396,6023.16,0.25,53,8.44,439.17
44516,"Alere Medical Co., Ltd.",Yes,100,2104,168320,0.8,917,208.21,16661.34
44567,"Aurobindo Unit III, India",Yes,60,57961,130412.25,0.04,5525,182.84,43237.33
44577,ABBVIE (Abbott) Logis. UK,Yes,300,1024,31559.68,0.1,1014,44.25,Freight Included in Commodity Cost
44597,"Trinity Biotech, Plc",No,20,39,1248,1.6,See ASN-31750 (ID#:19272),1.47,See ASN-31750 (ID#:19272)
44612,Mylan (formerly Matrix) Nashik,Yes,30,40890,175827,0.14,3329,379.08,10455.35
44615,Hetero Unit III Hyderabad IN,Yes,60,5700,10260,0.03,Weight Captured Separately,12.08,Invoiced Separately
44630,Mylan (formerly Matrix) Nashik,Yes,30,30339,348595.11,0.38,3419,431.21,15006.27
44643,Hetero Unit III Hyderabad IN,No,60,2000,21900,0.18,See ASN-32258 (ID#:29880),25.78,See ASN-32258 (ID#:29880)
44694,"Orasure Technologies, Inc USA",Yes,3,10,250,8.33,6,0.49,304.76
44702,"KHB Test Kit Facility, Shanghai China",Yes,1,4162,101969,24.5,2777,126.14,34137.03
44724,"Aurobindo Unit III, India",Yes,30,3000,9900,0.11,Weight Captured Separately,11.65,Invoiced Separately
44737,Mylan (formerly Matrix) Nashik,Yes,30,20142,99702.9,0.16,6142,139.78,13850.65
44778,"MSD, Haarlem, NL",Yes,180,3399,57647.04,0.09,1014,95.12,2093.32
44783,"Standard Diagnostics, Korea",Yes,30,2418,58032,0.8,859,95.75,7894.76
44808,"Alere Medical Co., Ltd.",Yes,100,1387,110960,0.8,662,155.57,12035.47
44816,"Alere Medical Co., Ltd.",Yes,100,6158,548062,0.89,2493,563.41,31090.27
44855,"Aurobindo Unit III, India",No,60,189,1248.67,0.11,Weight Captured Separately,1.28,Freight Included in Commodity Cost
44860,Hetero Unit III Hyderabad IN,Yes,30,2196,20862,0.32,Weight Captured Separately,24.55,Invoiced Separately
44908,GSK Ware (UK),No,60,1020,54784.2,0.9,Weight Captured Separately,107.38,Freight Included in Commodity Cost
44913,ABBVIE Ludwigshafen Germany,No,120,62,1549.54,0.21,Weight Captured Separately,1.92,Freight Included in Commodity Cost
44920,"Aurobindo Unit III, India",Yes,60,9744,14128.8,0.02,656,30.46,6158
44922,"Alere Medical Co., Ltd.",Yes,100,1250,160937.5,1.29,Weight Captured Separately,225.63,Freight Included in Commodity Cost
44930,"Alere Medical Co., Ltd.",Yes,100,3055,271895,0.89,1241,336.33,13325.59
44942,ABBVIE (Abbott) Logis. UK,Yes,336,273,10472.28,0.11,520,22.58,3759.22
44962,ABBVIE Ludwigshafen Germany,Yes,60,210,1554,0.12,36,2.18,677.4
44964,"Aurobindo Unit III, India",Yes,60,33972,85949.16,0.04,1823,185.31,1791.42
45020,"MSD, Haarlem, NL",No,60,20,1599.83,1.33,Weight Captured Separately,1.64,Freight Included in Commodity Cost
45034,ABBVIE (Abbott) Logis. UK,Yes,84,40,431.92,0.13,Weight Captured Separately,0.85,Freight Included in Commodity Cost
45048,"Aurobindo Unit III, India",No,60,408,1608.59,0.07,Weight Captured Separately,1.99,Freight Included in Commodity Cost
45057,Hetero Unit III Hyderabad IN,No,30,1043,17283.85,0.55,Weight Captured Separately,21.38,Freight Included in Commodity Cost
45090,"Aurobindo Unit III, India",No,30,621,12768.22,0.69,Weight Captured Separately,15.79,Freight Included in Commodity Cost
45143,"Aurobindo Unit III, India",No,30,17,368.99,0.72,Weight Captured Separately,0.46,Freight Included in Commodity Cost
45147,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,30,6907,124326,0.6,Weight Captured Separately,146.33,Invoiced Separately
45149,"Aurobindo Unit III, India",Yes,30,300,3900,0.43,21,8.41,3657.69
45150,"Alere Medical Co., Ltd.",No,1,116,580,5,See ASN-19143 (ID#:26345),0.72,See ASN-19143 (ID#:26345)
45158,ABBVIE Ludwigshafen Germany,Yes,120,1010,83022,0.68,255,179,8227.99
45160,"Trinity Biotech, Plc",Yes,20,176,5632,1.6,71,7.9,1743.35
45168,"Cipla, Goa, India",No,60,920,25777.7,0.47,Weight Captured Separately,31.89,Freight Included in Commodity Cost
45178,"Alere Medical Co., Ltd.",Yes,100,450,40050,0.89,188,49.54,2997.85
45197,"Aurobindo Unit III, India",No,60,27,620.91,0.38,Weight Captured Separately,0.64,Freight Included in Commodity Cost
45202,GSK Mississauga (Canada),No,240,1021,23275.52,0.1,Weight Captured Separately,28.79,Freight Included in Commodity Cost
45248,"Trinity Biotech, Plc",Yes,20,5673,181536,1.6,1674,186.62,10780.63
45267,"Trinity Biotech, Plc",Yes,20,151,4832,1.6,54,5.98,1032.57
45278,ABBVIE Ludwigshafen Germany,No,120,23,592.47,0.21,Weight Captured Separately,0.73,Freight Included in Commodity Cost
45287,"Aurobindo Unit III, India",Yes,90,25000,204250,0.09,3313,337.01,5192.74
45292,Mylan (formerly Matrix) Nashik,Yes,60,3024,11944.8,0.07,140,14.78,1694.3
45320,"Aurobindo Unit III, India",No,60,33,650.7,0.33,Weight Captured Separately,0.8,Freight Included in Commodity Cost
45327,"Mylan,  H-12 & H-13, India",No,30,17640,185220,0.35,See ASN-29183 (ID#:31368),190.41,See ASN-29183 (ID#:31368)
45343,"Micro labs, Verna, Goa, India",Yes,60,11507,20367.39,0.03,539,25.19,1666.35
45347,"Aurobindo Unit III, India",No,60,50,3857.34,1.29,Weight Captured Separately,4.77,Freight Included in Commodity Cost
45348,"Janssen-Cilag, Latina, IT",No,60,37,1874.52,0.84,Weight Captured Separately,1.93,Freight Included in Commodity Cost
45361,ABBVIE Ludwigshafen Germany,Yes,120,3500,152545.53,0.36,Weight Captured Separately,298.99,Freight Included in Commodity Cost
45377,"Aurobindo Unit III, India",No,60,86,6545.32,1.27,Weight Captured Separately,8.1,Freight Included in Commodity Cost
45400,ABBVIE (Abbott) Logis. UK,Yes,336,40,3068.8,0.23,114,6.01,4410.73
45440,"Aurobindo Unit III, India",Yes,240,6821,10299.71,0.01,2686,10.59,Freight Included in Commodity Cost
45442,"Aurobindo Unit III, India",Yes,30,137130,911914.5,0.22,45800,1504.66,9726.53
45460,"Aurobindo Unit III, India",No,60,3,64.23,0.36,Weight Captured Separately,0.07,Freight Included in Commodity Cost
45505,"Trinity Biotech, Plc",Yes,20,47,1504,1.6,15,2.11,870.22
45536,"Boehringer Ing., Koropi, GR",No,60,2,36.18,0.3,Weight Captured Separately,0.04,Freight Included in Commodity Cost
45540,Mylan (formerly Matrix) Nashik,Yes,60,12100,98010,0.13,1685,100.75,3251.35
45608,"Trinity Biotech, Plc",Yes,20,500,16000,1.6,170,31.36,2865.63
45609,"Alere Medical Co., Ltd.",No,1,5000,25000,5,See ASN-31132 (ID#:36641),29.42,See ASN-31132 (ID#:36641)
45640,ABBVIE (Abbott) Logis. UK,Yes,300,2,46.9,0.08,Weight Captured Separately,0.06,Freight Included in Commodity Cost
45644,"Aurobindo Unit III, India",Yes,30,2000,15160,0.25,150,15.58,1789.85
45648,"Trinity Biotech, Plc",No,20,90,2880,1.6,See ASN-24721 (ID#:13708),2.96,See ASN-24721 (ID#:13708)
45652,"Aurobindo Unit III, India",No,30,3,91.69,1.02,Weight Captured Separately,0.11,Freight Included in Commodity Cost
45695,"Aurobindo Unit III, India",Yes,30,1764,3951.36,0.07,106,5.54,1615.07
45705,"Aurobindo Unit III, India",Yes,30,28907,192231.55,0.22,Weight Captured Separately,317.18,Freight Included in Commodity Cost
45723,"Alere Medical Co., Ltd.",Yes,100,115,920,0.08,149,1.14,3256.76
45729,"Aurobindo Unit III, India",Yes,60,92887,678075.1,0.12,4810,1118.82,6599.86
45741,"Trinity Biotech, Plc",No,20,35,1120,1.6,See ASN-31765 (ID#:41640),1.32,See ASN-31765 (ID#:41640)
45793,Mylan (formerly Matrix) Nashik,Yes,30,5000,177172.11,1.18,Weight Captured Separately,208.53,Freight Included in Commodity Cost
45801,bioLytical Laboratories,Yes,48,32,2657.28,1.73,58,3.73,836.14
45848,ABBVIE (Abbott) Logis. UK,Yes,300,20,616.4,0.1,52,0.76,1573.41
45929,"Alere Medical Co., Ltd.",Yes,100,9575,766000,0.8,3890,787.45,29244.02
45968,ABBVIE Ludwigshafen Germany,Yes,120,320,26304,0.68,88,51.56,823.94
45977,"Aurobindo Unit III, India",Yes,60,20172,109533.96,0.09,1104,135.49,5765.11
46005,"Cipla, Goa, India",Yes,240,9565,18651.75,0.01,6490,26.15,3010.89
46010,Hetero Unit III Hyderabad IN,Yes,60,63254,166990.56,0.04,3700,360.03,Freight Included in Commodity Cost
46067,Bristol-Myers Squibb Anagni IT,No,30,18311,433421.37,0.79,See ASN-11005 (ID#:27881),715.15,See ASN-11005 (ID#:27881)
46082,"Trinity Biotech, Plc",Yes,20,43,1376,1.6,15,1.93,406.68
46095,"MSD, Haarlem, NL",Yes,180,420,7123.2,0.09,Weight Captured Separately,8.38,Freight Included in Commodity Cost
46099,"Aurobindo Unit III, India",Yes,60,38341,111955.72,0.05,4522,241.38,6369.8
46106,"Trinity Biotech, Plc",Yes,20,597,19104,1.6,209,26.78,3088.04
46114,"Standard Diagnostics, Korea",Yes,25,1500,30750,0.82,Weight Captured Separately,36.19,Invoiced Separately
46127,Hetero Unit III Hyderabad IN,Yes,60,236925,575727.75,0.04,13622,1241.27,82095.85
46129,Inverness Japan,Yes,100,61,4739.7,0.78,28,7.82,1001.47
46130,Mylan (formerly Matrix) Nashik,Yes,30,40593,452611.95,0.37,4585,559.88,6881.65
46156,"Alere Medical Co., Ltd.",Yes,100,2926,234080,0.8,1394,328.18,24596.33
46170,"Aurobindo Unit III, India",Yes,60,19836,167019.12,0.14,1820,275.58,698
46177,"Aurobindo Unit III, India",No,60,104,2036.11,0.33,Weight Captured Separately,2.52,Freight Included in Commodity Cost
46198,ABBVIE Ludwigshafen Germany,Yes,120,1922,116896.04,0.51,467,163.89,1842.23
46206,GSK Cape Town Factory (South Africa),No,60,2600,16744.82,0.11,Weight Captured Separately,32.82,Freight Included in Commodity Cost
46209,Inverness Japan,Yes,100,5084,355880,0.7,1153,697.52,46638.41
46227,"Aurobindo Unit III, India",No,240,124,3352.74,0.11,Weight Captured Separately,4.15,Freight Included in Commodity Cost
46228,Mylan (formerly Matrix) Nashik,Yes,60,48127,95772.73,0.03,2383,98.45,18232.17
46250,"Micro labs, Verna, Goa, India",Yes,60,3974,6835.28,0.03,209,7.03,3743.84
46310,"Trinity Biotech, Plc",Yes,20,400,12800,1.6,Weight Captured Separately,15.07,Invoiced Separately
46323,"Aurobindo Unit III, India",Yes,240,2286,3451.86,0.01,972,3.55,7719
46348,"Strides, Bangalore, India.",Yes,60,18025,52633,0.05,1139,65.11,4683.02
46353,"Trinity Biotech, Plc",Yes,20,6042,193344,1.6,1990,271.07,22859.07
46355,Mylan (formerly Matrix) Nashik,Yes,30,58,232,0.13,19,0.24,1274.35
46372,Boehringer Ingelheim Roxane US,No,240,120,1897.36,0.07,Weight Captured Separately,4.09,Freight Included in Commodity Cost
46395,ABBVIE (Abbott) Logis. UK,Yes,300,4,92.5,0.08,Weight Captured Separately,0.1,Freight Included in Commodity Cost
46409,"Alere Medical Co., Ltd.",No,100,552,44160,0.8,See ASN-32231 (ID#:13648),51.98,See ASN-32231 (ID#:13648)
46411,"Alere Medical Co., Ltd.",Yes,100,4400,352000,0.8,1808,435.42,23237.62
46429,"Orasure Technologies, Inc USA",Yes,1,20,500,25,Weight Captured Separately,0.51,Freight Included in Commodity Cost
46432,"Aurobindo Unit III, India",Yes,30,1461,33603,0.77,154,65.86,2986.16
46447,"Aspen-OSD, Port Elizabeth, SA",Yes,120,841,56010.6,0.55,169,69.29,359.53
46460,"Aurobindo Unit III, India",Yes,60,1560,12542.4,0.13,166,14.76,1488.99
46464,"Alere Medical Co., Ltd.",Yes,100,2746,219680,0.8,1312,362.47,27254.17
46468,"Strides, Bangalore, India.",Yes,60,515000,1251450,0.04,Weight Captured Separately,2064.89,Freight Included in Commodity Cost
46502,Hetero Unit III Hyderabad IN,No,60,24377,170639,0.12,See ASN-18664 (ID#:19406),211.08,See ASN-18664 (ID#:19406)
46512,Inverness Japan,Yes,100,494,39520,0.8,240,65.21,7681.19
46513,"Aurobindo Unit III, India",No,30,11,240.14,0.73,Weight Captured Separately,0.25,Freight Included in Commodity Cost
46556,ABBVIE Ludwigshafen Germany,No,60,2,10.34,0.09,Weight Captured Separately,0.01,Freight Included in Commodity Cost
46574,"Cipla, Goa, India",Yes,60,672,2466.24,0.06,49,3.46,221.96
46582,"Cipla, Goa, India",Yes,30,4500,29025,0.22,320,47.89,4890.38
46587,"Aurobindo Unit III, India",Yes,60,52379,132518.87,0.04,2512,285.71,4116.82
46590,Mylan (formerly Matrix) Nashik,Yes,30,63421,272710.3,0.14,5101,587.96,13241.08
46625,"Standard Diagnostics, Korea",Yes,25,24,480,0.8,75,1.03,1539.55
46653,GSK Mississauga (Canada),Yes,240,300,2040.28,0.03,Weight Captured Separately,4,Freight Included in Commodity Cost
46669,Chembio Diagnostics Sys. Inc.,Yes,20,1850,53650,1.45,592,88.52,2951.78
46673,Hetero Unit III Hyderabad IN,No,60,189,6189.33,0.55,Weight Captured Separately,7.66,Freight Included in Commodity Cost
46688,"Aurobindo Unit III, India",No,60,88,1722.87,0.33,Weight Captured Separately,2.13,Freight Included in Commodity Cost
46726,"Janssen-Cilag, Latina, IT",Yes,120,83,6811.81,0.68,16,11.24,375
46727,"Alere Medical Co., Ltd.",Yes,100,2264,181120,0.8,980,253.93,18638.44
46742,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,60,12937,29755.1,0.04,875,36.81,2181.91
46844,Chembio Diagnostics Sys. Inc.,Yes,20,3049,82323,1.35,904,177.49,7208
46848,"Micro labs, Verna, Goa, India",No,90,298,1317.16,0.05,See ASN-17673 (ID#:36978),1.85,See ASN-17673 (ID#:36978)
46858,"Alere Medical Co., Ltd.",Yes,1,215,1075,5,41,1.51,1001.02
46860,"Strides, Bangalore, India.",Yes,60,24000,264000,0.18,2769,569.18,10546.68
46867,"Alere Medical Co., Ltd.",Yes,100,6118,489440,0.8,2477,576.07,19775.55
46869,"Standard Diagnostics, Korea",Yes,25,1400,28700,0.82,437,29.5,5408.93
46875,"Alere Medical Co., Ltd.",Yes,100,8787,702960,0.8,3567,722.64,51732.62
46895,Chembio Diagnostics Sys. Inc.,Yes,20,3487,111584,1.6,1252,138.03,5850.25
46897,Hetero Unit III Hyderabad IN,Yes,30,12693,45060.15,0.12,975,55.74,2048.91
46942,"Cipla, Patalganga, India",Yes,60,10000,172800,0.29,1087,372.56,2531.3
46956,Inverness Japan,Yes,100,150,11655,0.78,34,19.23,947.35
46987,"Alere Medical Co., Ltd.",Yes,100,2352,188160,0.8,1016,263.8,19026.72
47025,"Aurobindo Unit III, India",Yes,30,34044,158985.48,0.16,2892,342.77,6105.79
47035,"Aurobindo Unit III, India",Yes,30,360,806.4,0.07,21,1,840.17
47048,ABBVIE Ludwigshafen Germany,Yes,120,1324,108832.8,0.68,334,179.57,2171.57
47050,Inverness Japan,Yes,100,7587,589509.9,0.78,1306,972.69,26532.85
47077,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,30,9235,166230,0.6,1197,195.65,5375.13
47084,Mylan (formerly Matrix) Nashik,No,30,30,445.57,0.5,Weight Captured Separately,0.46,Freight Included in Commodity Cost
47089,"Cipla, Goa, India",No,240,517,2812.74,0.02,Weight Captured Separately,3.48,Freight Included in Commodity Cost
47136,"Boehringer Ing., Koropi, GR",No,60,225,4157.82,0.31,Weight Captured Separately,5.14,Freight Included in Commodity Cost
47200,Hetero Unit III Hyderabad IN,Yes,60,29635,195887.35,0.11,2608,201.37,21886.49
47212,ABBVIE (Abbott) Logis. UK,Yes,300,80,2465.6,0.1,136,2.53,2077.87
47221,"Trinity Biotech, Plc",No,20,10,320,1.6,See ASN-31129 (ID#:40205),0.38,See ASN-31129 (ID#:40205)
47233,"Aurobindo Unit III, India",No,30,11,370.96,1.12,Weight Captured Separately,0.46,Freight Included in Commodity Cost
47236,Inverness Japan,Yes,100,25,200,0.08,2,0.33,1201.72
47253,"Strides, Bangalore, India.",Yes,60,11000,58850,0.09,3828,97.1,15089.11
47301,Mylan (formerly Matrix) Nashik,Yes,60,814,0.01,0,60,0,1344.94
47302,"Aurobindo Unit III, India",No,100,218,1002.8,0.05,See ASN-18805 (ID#:18997),1.24,See ASN-18805 (ID#:18997)
47311,ABBVIE Ludwigshafen Germany,Yes,120,1573,48479.86,0.26,393,79.99,40289
47312,"Aurobindo Unit III, India",No,30,26,777.92,1,Weight Captured Separately,0.8,Freight Included in Commodity Cost
47356,"Aurobindo Unit III, India",Yes,240,11980,37737,0.01,4621,81.36,4762.44
47388,"Aurobindo Unit III, India",No,60,37680,288252,0.13,See ASN-16560 (ID#:29734),404.13,See ASN-16560 (ID#:29734)
47400,"Alere Medical Co., Ltd.",No,1,3939,19695,5,See ASN-26283 (ID#:46875),20.25,See ASN-26283 (ID#:46875)
47406,"Alere Medical Co., Ltd.",Yes,100,2607,208560,0.8,1080,257.99,19598.71
47411,"Aurobindo Unit III, India",Yes,100,700,910,0.01,Weight Captured Separately,1.13,Invoiced Separately
47413,Mylan (formerly Matrix) Nashik,Yes,30,5000,100000,0.67,1189,123.7,7296.97
47432,"Standard Diagnostics, Korea",Yes,25,1400,28700,0.82,468,35.5,5372.87
47443,ABBVIE Ludwigshafen Germany,Yes,120,120,4339.2,0.3,36,8.5,1025.69
47473,ABBVIE (Abbott) Logis. UK,Yes,300,4497,138597.54,0.1,3968,163.13,Freight Included in Commodity Cost
47495,"Aurobindo Unit III, India",Yes,90,46855,637228,0.15,7712,1051.43,13491.19
47516,"Aurobindo Unit III, India",No,30,7242,148900.86,0.69,Weight Captured Separately,184.19,Freight Included in Commodity Cost
47536,Inverness Japan,Yes,100,10,800,0.8,5,1.32,767.63
47541,Hetero Unit III Hyderabad IN,No,60,37140,86907.6,0.04,See ASN-15554 (ID#:33116),121.84,See ASN-15554 (ID#:33116)
47546,ABBVIE Ludwigshafen Germany,Yes,60,5360,31838.4,0.1,619,39.38,5506.01
47559,"Aurobindo Unit III, India",Yes,30,100000,235000,0.08,5634,506.66,17819.74
47576,"Cipla, Goa, India",Yes,60,38400,107136,0.05,Weight Captured Separately,230.99,Freight Included in Commodity Cost
47581,"Alere Medical Co., Ltd.",Yes,100,1000,133000,1.33,Weight Captured Separately,164.52,Freight Included in Commodity Cost
47587,"Alere Medical Co., Ltd.",Yes,100,605,60500,1,Weight Captured Separately,62.19,Invoiced Separately
47616,Bristol-Myers Squibb Anagni IT,Yes,60,703,4921,0.12,162,6.09,2365.05
47625,"Cipla, Goa, India",Yes,30,54247,424211.54,0.26,3728,914.6,3646.13
47638,Chembio Diagnostics Sys. Inc.,Yes,20,15,435,1.45,6,0.72,325.67
47642,"Alere Medical Co., Ltd.",No,100,262,20960,0.8,See ASN-32231 (ID#:13648),24.67,See ASN-32231 (ID#:13648)
47653,"Janssen-Cilag, Latina, IT",No,120,33,844.57,0.21,Weight Captured Separately,0.87,Freight Included in Commodity Cost
47666,"Aurobindo Unit III, India",No,30,8,122.18,0.51,Weight Captured Separately,0.13,Freight Included in Commodity Cost
47676,"Aurobindo Unit III, India",Yes,60,164,1380.88,0.14,Weight Captured Separately,2.28,Freight Included in Commodity Cost
47677,ABBVIE Ludwigshafen Germany,Yes,30,187,4349.62,0.78,16,5.38,958.85
47722,"Aurobindo Unit III, India",No,30,10,234.38,0.78,Weight Captured Separately,0.24,Freight Included in Commodity Cost
47759,"Aurobindo Unit III, India",No,60,5964,51350.04,0.14,See ASN-5131 (ID#:25886),100.65,See ASN-5131 (ID#:25886)
47817,"Trinity Biotech, Plc",Yes,20,179,5728,1.6,63,8.03,2147.11
47831,ABBVIE Ludwigshafen Germany,Yes,120,1720,141384,0.68,424,277.11,10296.99
47837,Hetero Unit III Hyderabad IN,Yes,60,9300,28737,0.05,550,56.32,3054.13
47853,Inverness Japan,Yes,100,2024,141680,0.7,461,277.69,6923.2
47857,Chembio Diagnostics Sys. Inc.,Yes,20,340,9860,1.45,151,13.82,827.88
47862,"Janssen-Cilag, Latina, IT",Yes,60,50,2700,0.9,Weight Captured Separately,2.78,Freight Included in Commodity Cost
47864,ABBVIE Ludwigshafen Germany,Yes,120,1785,146727,0.68,266,316.34,6937.66
47870,"Trinity Biotech, Plc",Yes,20,39,1248,1.6,13,2.06,581.73
47923,Inverness Japan,Yes,100,1000,72000,0.72,324,141.12,3791.81
47937,Hetero Unit III Hyderabad IN,Yes,30,24192,254016,0.35,3385,314.22,8764.53
47949,"Aurobindo Unit III, India",Yes,30,87018,394191.54,0.15,Weight Captured Separately,849.88,Freight Included in Commodity Cost
47953,Mylan (formerly Matrix) Nashik,No,60,2231,4685.1,0.04,See ASN-18408 (ID#:21705),5.8,See ASN-18408 (ID#:21705)
47975,ABBVIE Ludwigshafen Germany,Yes,120,1575,129465,0.68,382,213.62,5528.41
47977,"Trinity Biotech, Plc",Yes,20,3000,96000,1.6,881,112.99,6664.29
47979,ABBVIE Ludwigshafen Germany,Yes,30,300,6978,0.78,Weight Captured Separately,8.21,Invoiced Separately
48043,Inverness Japan,Yes,100,8178,727842,0.89,1407,1569.23,15200.59
48044,"Alere Medical Co., Ltd.",No,100,204,18156,0.89,See ASN-19143 (ID#:26345),22.46,See ASN-19143 (ID#:26345)
48065,"Aurobindo Unit III, India",Yes,240,11668,35004,0.01,4396,75.47,3283.59
48099,"Trinity Biotech, Plc",No,20,41,1312,1.6,See ASN-31750 (ID#:19272),1.54,See ASN-31750 (ID#:19272)
48102,"Janssen-Cilag, Latina, IT",Yes,60,18,911.9,0.84,Weight Captured Separately,0.94,Freight Included in Commodity Cost
48120,"Strides, Bangalore, India.",Yes,60,2400,5640,0.04,726,12.16,7388.14
48151,"Aurobindo Unit VII, IN",Yes,30,42074,225095.9,0.18,4105,315.58,25382.52
48155,Hetero Unit III Hyderabad IN,No,60,1008,7005.6,0.12,See ASN-9408 (ID#:39263),15.1,See ASN-9408 (ID#:39263)
48182,ABBVIE Ludwigshafen Germany,Yes,60,272,1863.2,0.11,37,1.92,722.35
48184,"Aurobindo Unit III, India",Yes,60,1592,12799.68,0.13,167,13.16,1923.14
48214,"Aurobindo Unit III, India",No,60,19,243.66,0.21,Weight Captured Separately,0.25,Freight Included in Commodity Cost
48216,"Trinity Biotech, Plc",Yes,20,4250,136000,1.6,1386,190.67,13215.15
48228,Chembio Diagnostics Sys. Inc.,Yes,20,3400,98600,1.45,1252,121.97,10821.66
48236,"Aurobindo Unit III, India",No,240,36,987.14,0.11,Weight Captured Separately,1.22,Freight Included in Commodity Cost
48261,ABBVIE (Abbott) Logis. UK,Yes,300,350,10787,0.1,Weight Captured Separately,12.7,Invoiced Separately
48301,"Alere Medical Co., Ltd.",Yes,100,6290,503200,0.8,2995,705.49,57933.93
48319,"Cipla, Goa, India",No,60,275,4974.52,0.3,Weight Captured Separately,5.11,Freight Included in Commodity Cost
48419,"Cipla, Goa, India",Yes,60,10817,29422.24,0.05,1172,48.55,19007.72
48438,"MSD, Haarlem, NL",Yes,60,223,20404.5,1.52,21,33.67,761
48497,"Strides, Bangalore, India.",Yes,60,185954,459306.38,0.04,9019,990.26,13677.68
48500,Hetero Unit III Hyderabad IN,Yes,60,176100,427923,0.04,24219,922.6,23736.39
48516,"Aurobindo Unit III, India",Yes,100,120,540,0.04,9,0.56,820.56
48517,Inverness Japan,Yes,100,1845,132840,0.72,1000,286.4,18841.09
48519,"Alere Medical Co., Ltd.",No,100,165,1320,0.08,See ASN-22040 (ID#:45178),1.63,See ASN-22040 (ID#:45178)
48523,"Alere Medical Co., Ltd.",Yes,100,2744,219520,0.8,1303,307.77,22223.94
48559,"Aurobindo Unit III, India",No,60,20,256.48,0.21,Weight Captured Separately,0.26,Freight Included in Commodity Cost
48595,ABBVIE Ludwigshafen Germany,No,30,400,9304,0.78,See ASN-33152 (ID#:38571),10.95,See ASN-33152 (ID#:38571)
48623,Mylan (formerly Matrix) Nashik,Yes,30,1558,35055,0.75,195,49.15,3387.72
48624,"Aurobindo Unit VII, IN",Yes,30,15080,165276.8,0.37,Weight Captured Separately,169.9,Invoiced Separately
48640,Chembio Diagnostics Sys. Inc.,Yes,30,594,16394.4,0.92,63,19.3,877.52
48655,"Aurobindo Unit III, India",No,30,20,66.33,0.11,Weight Captured Separately,0.08,Freight Included in Commodity Cost
48665,Chembio Diagnostics Sys. Inc.,Yes,30,517,14269.2,0.92,56,16.79,812.84
48690,"Aurobindo Unit III, India",Yes,240,2064,2951.52,0.01,751,3.65,5754.16
48706,Hetero Unit III Hyderabad IN,Yes,30,38113,157406.69,0.14,3077,339.37,6499.25
48729,"Janssen-Cilag, Latina, IT",Yes,120,1,25.59,0.21,Weight Captured Separately,0.03,Freight Included in Commodity Cost
48741,"Cipla, Patalganga, India",Yes,60,3900,7215,0.03,321,7.42,3740.01
48746,"Aurobindo Unit III, India",Yes,60,32070,81137.1,0.04,1727,174.93,1791.42
48755,Mylan (formerly Matrix) Nashik,No,30,96,431.04,0.15,See ASN-16472 (ID#:20383),0.6,See ASN-16472 (ID#:20383)
